date,total_value,benchmark_value,benchmark_nasdaq_value
2026-04-06T00:00:00,1309750.9260872102,24547.74080465734,89818.26661111414
2026-04-07T00:00:00,1300379.7799097933,24453.49647141318,89443.24559955578
2026-04-08T00:00:00,1348147.2383926292,24725.376906306483,90779.52311225608
2026-04-09T00:00:00,1349351.6553562947,24889.87616679445,91475.63335349783
2026-04-10T00:00:00,1360479.9995363054,24730.791785112815,91118.81790996529
2026-04-13T00:00:00,1361595.3578355997,25106.47439076798,92546.25341040781
2026-04-14T00:00:00,1387516.071111012,25127.158899741713,93196.58913516998
2026-04-15T00:00:00,1396513.5181225813,25218.3615152298,94096.71938240761
2026-04-16T00:00:00,1408251.6832660506,25242.073367691482,94400.38434386253
2026-04-17T00:00:00,1439572.302811941,25621.748886306304,95900.72073791176
2026-04-20T00:00:00,1427097.7317102107,25608.687198757427,95784.25554592349
2026-04-21T00:00:00,1427392.6913238158,25349.904881728347,95024.22645410104
2026-04-22T00:00:00,1428238.0652688683,25744.12022292707,97154.14424200729
2026-04-23T00:00:00,1419426.6966813372,25763.400870957877,97069.89824551903
2026-04-24T00:00:00,1413669.728235762,26013.539556711912,99128.70335176587
2026-04-27T00:00:00,1407925.1645657902,25999.827908985317,98961.78755380213
2026-04-28T00:00:00,1396614.6108491088,25834.174136506626,97813.66113726748
2026-04-29T00:00:00,1395394.5582657647,25863.82300305157,98537.57826015446
2026-04-30T00:00:00,1400584.4524675542,26268.262117733713,100030.30717363348
2026-05-01T00:00:00,1403427.6908197259,26224.00661391439,100506.85683581978
2026-05-04T00:00:00,1414711.1851442473,26058.650401175022,100068.62041864358
2026-05-05T00:00:00,1429417.3390443295,26428.207630842575,101992.75060005533
2026-05-06T00:00:00,1444386.558364959,26674.844139026944,103579.89931369666
2026-05-07T00:00:00,1402442.015513036,26431.570648887428,102900.19583391957
2026-05-08T00:00:00,1387260.6678688673,26676.472172860173,105405.29305357253
2026-05-11T00:00:00,1388472.802275842,26692.302444631234,105578.42139632069
2026-05-12T00:00:00,1368432.577072129,26613.481144323247,104515.56712074485
2026-05-13T00:00:00,1376689.5100844172,26962.70062583685,106365.58374204068
2026-05-14T00:00:00,1388870.954808078,27170.466668619774,107143.6924179066
2026-05-15T00:00:00,1367543.7506616572,26923.674669742584,105845.63521051034
2026-05-18T00:00:00,1357060.3316095627,27068.58517990564,106015.3006567224
2026-05-19T00:00:00,1355914.7769006796,26740.814063749625,104797.40591661353
2026-05-20T00:00:00,1381949.2897395042,27198.873122684075,107206.72635630798
2026-05-21T00:00:00,1379833.9494266766,27183.282633567578,107179.2831305759
2026-05-22T00:00:00,1393103.6395259148,27256.867190561257,107523.9667750895
2026-05-25T00:00:00,1408844.862736234,27186.168368734187,107245.07126901299
2026-05-26T00:00:00,1397968.6076626154,27316.211470862152,108991.79655183665
2026-05-27T00:00:00,1394703.9410392365,27359.445797318593,109045.34985366464
2026-05-28T00:00:00,1395533.645291649,27558.010417056503,110120.44555226341
2026-05-29T00:00:00,1401723.4521982253,27471.65446531854,109933.51302865706
2026-06-01T00:00:00,1334601.9346123734,27593.099373919424,110786.36707874388
2026-06-02T00:00:00,1332288.9352326007,27689.324762406293,111563.18894406222
2026-06-03T00:00:00,1327155.4673433693,27522.74026927189,111389.98277659994
2026-06-04T00:00:00,1327124.4886972522,27702.83102951653,111069.09277833765
2026-06-05T00:00:00,1306897.5998152879,26922.667149303015,105585.48797484627
2026-06-08T00:00:00,1309743.4016026906,27264.713717442937,108290.65788724646
2026-06-09T00:00:00,1289061.0440748003,27153.693987474428,106916.07470500469
2026-06-10T00:00:00,1293677.9407714338,26699.648254601285,104741.34822115861
2026-06-11T00:00:00,1296191.6379612454,27243.927258157404,108492.97413236089
2026-06-12T00:00:00,1326504.1513593954,27256.44050262985,108696.0692603821
2026-06-15T00:00:00,1345794.698020645,27607.531232838985,111624.28485750128
2026-06-16T00:00:00,1340371.6312134494,27528.796959344763,109831.99810327403
2026-06-17T00:00:00,1338177.8497787758,27071.863442708272,108252.97164377198
2026-06-18T00:00:00,1344721.350451963,27648.637560089584,112083.29262755206
2026-06-19T00:00:00,1352303.6307528766,27846.503328361083,112885.40979364933
2026-06-22T00:00:00,1355406.7022618433,27719.866229478037,112570.67250967724
2026-06-23T00:00:00,1337648.6738151521,27504.616874126717,109590.63100466877
2026-06-24T00:00:00,1348644.6586898933,27634.23693070654,109737.68828677014
2026-06-25T00:00:00,1339725.633727706,27746.935116553213,111026.8082592804
2026-06-26T00:00:00,1337973.281956389,27696.195199585287,109663.07723637018
2026-06-29T00:00:00,1342288.0144418108,28006.672791655175,112075.73500490189
2026-06-30T00:00:00,1360646.2897787504,28151.246610576985,113651.96494899783
2026-07-01T00:00:00,1378477.4326765256,28173.312586544198,112227.20186688239
2026-07-02T00:00:00,1367915.5668150024,28218.40081453463,110596.9344678577
2026-07-03T00:00:00,1373110.9061580203,28078.540021131746,110048.7753037624
2026-07-06T00:00:00,1381737.012273475,28252.550097190542,111316.52514291462
2026-07-07T00:00:00,1366781.815255828,28107.245569549268,109273.66795696132
2026-07-08T00:00:00,1359333.5459185313,28214.679640564136,110301.16479255818
2026-07-09T00:00:00,1378651.2225392868,28433.48905655148,112047.38642183365
2026-07-10T00:00:00,1393598.4164844798,28675.35197911493,112897.88297479972
2026-07-13T00:00:00,1389914.1599396998,28515.979561868124,111038.81976161106
2026-07-14T00:00:00,1393260.3929274722,28698.003830845468,112554.82528117485
2026-07-15T00:00:00,1395527.432439354,28647.600196747226,111613.05388962524
2026-07-16T00:00:00,1385755.9733569887,28369.541329825413,109300.89002079982
2026-07-17T00:00:00,1364686.6331108056,28177.016864649602,108030.21763545368
2026-07-20T00:00:00,1379546.4040342974,28264.66343583609,108619.98613200523
2026-07-21T00:00:00,1385125.7606205046,28492.2340908763,110623.7925493531
2026-07-22T00:00:00,1379829.129531452,28454.428958472563,110031.84035703493
2026-07-23T00:00:00,1353473.1570749537,28078.04944600258,107846.0103634391
2026-07-24T00:00:00,1357033.7440055609,28203.3989783586,107031.42659621313
